============================================================
NETWORK PORT SCAN REPORT
============================================================

Scan Date : 2026-07-07 10:57:27.501217

TARGET INFORMATION
------------------------------------------------------------
Target IP   : 10.214.101.248
Hostname    : ORG-DKMNU-COMPNY-DESKTOP-7BHHFD
Port Range  : 130 - 14000
Duration    : 140.86 seconds

SCAN SUMMARY
------------------------------------------------------------
Open Ports     : 6
Closed Ports   : 13865
Filtered Ports : 0
Total Scanned  : 13871

OPEN PORTS
------------------------------------------------------------
Port 576 --> Unknown Service --> CLOSED
Port 577 --> Unknown Service --> CLOSED
Port 578 --> Unknown Service --> CLOSED
Port 579 --> Unknown Service --> CLOSED
Port 580 --> Unknown Service --> CLOSED
Port 581 --> Unknown Service --> CLOSED
Port 582 --> Unknown Service --> CLOSED
Port 583 --> Unknown Service --> CLOSED
Port 584 --> Unknown Service --> CLOSED
Port 585 --> Unknown Service --> CLOSED
Port 586 --> Unknown Service --> CLOSED
Port 587 --> SMTP Submission --> CLOSED
Port 588 --> Unknown Service --> CLOSED
Port 589 --> Unknown Service --> CLOSED
Port 590 --> Unknown Service --> CLOSED
Port 591 --> Unknown Service --> CLOSED
Port 592 --> Unknown Service --> CLOSED
Port 593 --> Unknown Service --> CLOSED
Port 594 --> Unknown Service --> CLOSED
Port 595 --> Unknown Service --> CLOSED
Port 596 --> Unknown Service --> CLOSED
Port 597 --> Unknown Service --> CLOSED
Port 598 --> Unknown Service --> CLOSED
Port 599 --> Unknown Service --> CLOSED
Port 600 --> Unknown Service --> CLOSED
Port 601 --> Unknown Service --> CLOSED
Port 602 --> Unknown Service --> CLOSED
Port 603 --> Unknown Service --> CLOSED
Port 604 --> Unknown Service --> CLOSED
Port 605 --> Unknown Service --> CLOSED
Port 606 --> Unknown Service --> CLOSED
Port 607 --> Unknown Service --> CLOSED
Port 608 --> Unknown Service --> CLOSED
Port 609 --> Unknown Service --> CLOSED
Port 610 --> Unknown Service --> CLOSED
Port 611 --> Unknown Service --> CLOSED
Port 612 --> Unknown Service --> CLOSED
Port 613 --> Unknown Service --> CLOSED
Port 614 --> Unknown Service --> CLOSED
Port 615 --> Unknown Service --> CLOSED
Port 616 --> Unknown Service --> CLOSED
Port 617 --> Unknown Service --> CLOSED
Port 618 --> Unknown Service --> CLOSED
Port 619 --> Unknown Service --> CLOSED
Port 620 --> Unknown Service --> CLOSED
Port 621 --> Unknown Service --> CLOSED
Port 622 --> Unknown Service --> CLOSED
Port 623 --> Unknown Service --> CLOSED
Port 624 --> Unknown Service --> CLOSED
Port 625 --> Unknown Service --> CLOSED
Port 626 --> Unknown Service --> CLOSED
Port 627 --> Unknown Service --> CLOSED
Port 628 --> Unknown Service --> CLOSED
Port 629 --> Unknown Service --> CLOSED
Port 630 --> Unknown Service --> CLOSED
Port 631 --> Unknown Service --> CLOSED
Port 632 --> Unknown Service --> CLOSED
Port 633 --> Unknown Service --> CLOSED
Port 634 --> Unknown Service --> CLOSED
Port 635 --> Unknown Service --> CLOSED
